# Job started on: Thu Oct 19 10:44:49 CEST 2023 .
# FONLL heavy quark hadroproduction cross section, calculated on Thu Oct 19 10:44:56 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 100, ebeam2 = 100
# PDF set = CTEQ6.6
# ptmin = 1
# ptmax = 30
# etamin = -1
# etamax = 1
# cross section is ds/dpt (pb/GeV)
# pt      central
   1.0000 4.1680e+07
   1.2000 3.8377e+07
   1.4000 3.2772e+07
   1.6000 2.6625e+07
   1.8000 2.0949e+07
   2.0000 1.6166e+07
   2.2000 1.2340e+07
   2.4000 9.3722e+06
   2.6000 7.1115e+06
   2.8000 5.4041e+06
   3.0000 4.1201e+06
   3.2000 3.1546e+06
   3.4000 2.4260e+06
   3.6000 1.8761e+06
   3.8000 1.4575e+06
   4.0000 1.1382e+06
   4.2000 8.9387e+05
   4.4000 7.0551e+05
   4.6000 5.5977e+05
   4.8000 4.4651e+05
   5.0000 3.5789e+05
   5.2000 2.8824e+05
   5.4000 2.3323e+05
   5.6000 1.8956e+05
   5.8000 1.5470e+05
   6.0000 1.2676e+05
   6.2000 1.0427e+05
   6.4000 8.6086e+04
   6.6000 7.1324e+04
   6.8000 5.9296e+04
   7.0000 4.9460e+04
   7.2000 4.1384e+04
   7.4000 3.4729e+04
   7.6000 2.9228e+04
   7.8000 2.4669e+04
   8.0000 2.0878e+04
   8.2000 1.7716e+04
   8.4000 1.5070e+04
   8.6000 1.2849e+04
   8.8000 1.0980e+04
   9.0000 9.4052e+03
   9.2000 8.0739e+03
   9.4000 6.9459e+03
   9.6000 5.9878e+03
   9.8000 5.1716e+03
  10.0000 4.4748e+03
  10.2000 3.8788e+03
  10.4000 3.3683e+03
  10.6000 2.9302e+03
  10.8000 2.5535e+03
  11.0000 2.2290e+03
  11.2000 1.9487e+03
  11.4000 1.7061e+03
  11.6000 1.4958e+03
  11.8000 1.3132e+03
  12.0000 1.1546e+03
  12.2000 1.0165e+03
  12.4000 8.9621e+02
  12.6000 7.9120e+02
  12.8000 6.9940e+02
  13.0000 6.1901e+02
  13.2000 5.4845e+02
  13.4000 4.8644e+02
  13.6000 4.3190e+02
  13.8000 3.8388e+02
  14.0000 3.4158e+02
  14.2000 3.0426e+02
  14.4000 2.7132e+02
  14.6000 2.4220e+02
  14.8000 2.1643e+02
  15.0000 1.9359e+02
  15.2000 1.7331e+02
  15.4000 1.5526e+02
  15.6000 1.3920e+02
  15.8000 1.2490e+02
  16.0000 1.1216e+02
  16.2000 1.0080e+02
  16.4000 9.0664e+01
  16.6000 8.1616e+01
  16.8000 7.3533e+01
  17.0000 6.6306e+01
  17.2000 5.9838e+01
  17.4000 5.4043e+01
  17.6000 4.8837e+01
  17.8000 4.4154e+01
  18.0000 3.9940e+01
  18.2000 3.6148e+01
  18.4000 3.2734e+01
  18.6000 2.9660e+01
  18.8000 2.6890e+01
  19.0000 2.4395e+01
  19.2000 2.2145e+01
  19.4000 2.0116e+01
  19.6000 1.8285e+01
  19.8000 1.6632e+01
  20.0000 1.5139e+01
  20.2000 1.3788e+01
  20.4000 1.2562e+01
  20.6000 1.1448e+01
  20.8000 1.0436e+01
  21.0000 9.5163e+00
  21.2000 8.6808e+00
  21.4000 7.9216e+00
  21.6000 7.2317e+00
  21.8000 6.6047e+00
  22.0000 6.0348e+00
  22.2000 5.5168e+00
  22.4000 5.0458e+00
  22.6000 4.6175e+00
  22.8000 4.2279e+00
  23.0000 3.8734e+00
  23.2000 3.5509e+00
  23.4000 3.2567e+00
  23.6000 2.9872e+00
  23.8000 2.7402e+00
  24.0000 2.5138e+00
  24.2000 2.3064e+00
  24.4000 2.1163e+00
  24.6000 1.9423e+00
  24.8000 1.7829e+00
  25.0000 1.6370e+00
  25.2000 1.5034e+00
  25.4000 1.3811e+00
  25.6000 1.2692e+00
  25.8000 1.1668e+00
  26.0000 1.0732e+00
  26.2000 9.8753e-01
  26.4000 9.0922e-01
  26.6000 8.3762e-01
  26.8000 7.7216e-01
  27.0000 7.1230e-01
  27.2000 6.5711e-01
  27.4000 6.0613e-01
  27.6000 5.5905e-01
  27.8000 5.1559e-01
  28.0000 4.7547e-01
  28.2000 4.3846e-01
  28.4000 4.0432e-01
  28.6000 3.7285e-01
  28.8000 3.4385e-01
  29.0000 3.1712e-01
  29.2000 2.9252e-01
  29.4000 2.6987e-01
  29.6000 2.4904e-01
  29.8000 2.2988e-01
  30.0000 2.1228e-01
